N,Lambda,Error,Time,Shape
10.0,0.25,0.0016259135081804375,0.01756739616394043,4411.0
10.0,0.5,0.0016672869744030208,0.007806062698364258,2211.0
10.0,0.51,0.0016505126059123273,0.00975942611694336,2167.0
20.0,0.25,0.0004353368676309112,0.07515096664428711,33621.0
20.0,0.5,0.00045042668654145577,0.03182387351989746,16821.0
20.0,0.51,1.5957204644359215,0.043920040130615234,16485.0
40.0,0.25,0.00011244734011462219,0.47348833084106445,262441.0
40.0,0.5,0.00011708920411905974,0.15471386909484863,131241.0
40.0,0.51,1.0062720571019923e+38,0.3330399990081787,128658.0
80.0,0.25,2.8562210091247925e-05,1.4676392078399658,2073681.0
80.0,0.5,2.9845631420412287e-05,0.7273952960968018,1036881.0
80.0,0.51,1.1952707186537463e+195,1.131683588027954,1016550.0
160.0,0.25,7.196703941754882e-06,6.168924331665039,16486561.0
160.0,0.5,7.532289484474246e-06,2.596998453140259,8243361.0
320.0,0.25,1.806183433943282e-06,19.00789213180542,131481921.0
320.0,0.5,1.8918713144436278e-06,10.334426164627075,65741121.0
