N,Lambda,Error,Time,Shape
10.0,0.25,1.0069696272990729e-16,0.02342391014099121,4411.0
10.0,0.5,5.969025778702013e-17,0.01167917251586914,2211.0
10.0,0.51,4.107264472413774e-17,0.012688159942626953,2167.0
20.0,0.25,2.7945410281727107e-16,0.08100676536560059,33621.0
20.0,0.5,6.002556256278795e-17,0.041967153549194336,16821.0
20.0,0.51,5.52014580053763e-12,0.03745293617248535,16485.0
40.0,0.25,3.270349030771525e-16,0.3123188018798828,262441.0
40.0,0.5,1.7481315530263588e-16,0.16689538955688477,131241.0
40.0,0.51,9.418907906609986e+28,0.17032909393310547,128658.0
80.0,0.25,2.0268294862310864e-15,1.3318302631378174,2073681.0
80.0,0.5,2.2669090847384334e-16,0.7007646560668945,1036881.0
80.0,0.51,1.0175738878042916e+187,0.5978167057037354,1016550.0
160.0,0.25,2.2699662520985656e-15,4.940114259719849,16486561.0
160.0,0.5,6.0264000418244e-16,4.109103202819824,8243361.0
320.0,0.25,4.699054045052848e-15,20.808672428131104,131481921.0
320.0,0.5,2.361504554857924e-15,12.83266806602478,65741121.0
