N,Lambda,Error,Time,Shape
10.0,0.25,0.005065957766105228,0.01951909065246582,4411.0
10.0,0.5,0.0055398473713865765,0.015615463256835938,2211.0
10.0,0.51,0.0036882288901543686,0.011619329452514648,2167.0
20.0,0.25,0.0013115218786529043,0.07083320617675781,33621.0
20.0,0.5,0.001380775680531673,0.05367898941040039,16821.0
20.0,0.51,0.8443415661881359,0.041967153549194336,16485.0
40.0,0.25,0.00033147313954577266,0.3090200424194336,262441.0
40.0,0.5,0.00034197258338034453,0.1498863697052002,131241.0
40.0,0.51,5.312950805876436e+37,0.158111572265625,128658.0
80.0,0.25,8.318568975580936e-05,1.3431410789489746,2073681.0
80.0,0.5,8.494870490148377e-05,0.790088415145874,1036881.0
80.0,0.51,6.307303959149889e+194,0.6470596790313721,1016550.0
160.0,0.25,2.0827720663808125e-05,4.8818042278289795,16486561.0
160.0,0.5,2.116012799130071e-05,2.5160815715789795,8243361.0
320.0,0.25,5.210309293829318e-06,17.78501796722412,131481921.0
320.0,0.5,5.2798072803997724e-06,13.033122062683105,65741121.0
