N,Lambda,Error,Time,Shape
10.0,0.25,0.0,0.021471261978149414,4411.0
10.0,0.5,0.0,0.01093745231628418,2211.0
10.0,0.51,0.0,0.010699987411499023,2167.0
20.0,0.25,0.0,0.06539034843444824,33621.0
20.0,0.5,0.0,0.03611302375793457,16821.0
20.0,0.51,0.0,0.04782271385192871,16485.0
40.0,0.25,0.0,0.3509209156036377,262441.0
40.0,0.5,0.0,0.17174863815307617,131241.0
40.0,0.51,0.0,0.1441819667816162,128658.0
80.0,0.25,0.0,1.2321124076843262,2073681.0
80.0,0.5,0.0,0.6148786544799805,1036881.0
80.0,0.51,0.0,0.58306884765625,1016550.0
160.0,0.25,0.0,4.782698392868042,16486561.0
160.0,0.5,0.0,2.4301722049713135,8243361.0
320.0,0.25,0.0,17.751495122909546,131481921.0
320.0,0.5,0.0,11.121082782745361,65741121.0
